run_number,experiment_type,dataset,batch_size,output_size,prompt_type,num_api_calls,avg_accuracy,avg_precision,avg_recall,avg_time,timestamp
10,single,mcf_50,200,60,original,5,0.973333,1.000000,0.973333,4.738498,2025-08-07 11:52:22
1,hyperparameter_sweep,mcf_50,100,10,original,5,0.763636,0.780000,0.780000,1.335790,2025-08-07 12:08:14
1,hyperparameter_sweep,mcf_50,100,20,original,5,0.800000,0.800000,0.800000,2.073545,2025-08-07 12:08:24
1,hyperparameter_sweep,mcf_50,100,30,original,5,0.793333,0.800000,0.793333,2.747485,2025-08-07 12:08:38
1,hyperparameter_sweep,mcf_50,100,40,original,5,0.790000,0.800000,0.790000,3.423159,2025-08-07 12:08:55
1,hyperparameter_sweep,mcf_50,100,50,original,5,0.788000,0.800000,0.788000,4.048429,2025-08-07 12:09:15
1,hyperparameter_sweep,mcf_50,100,60,original,5,0.790000,0.800000,0.790000,4.977689,2025-08-07 12:09:40
1,hyperparameter_sweep,mcf_50,100,70,original,5,0.722857,0.800000,0.722857,5.770961,2025-08-07 12:10:09
1,hyperparameter_sweep,mcf_50,125,10,original,5,0.800000,0.800000,0.800000,1.256700,2025-08-07 12:10:16
1,hyperparameter_sweep,mcf_50,125,20,original,5,0.790000,0.800000,0.790000,1.984588,2025-08-07 12:10:25
1,hyperparameter_sweep,mcf_50,125,30,original,5,0.793333,0.800000,0.793333,2.819203,2025-08-07 12:10:40
1,hyperparameter_sweep,mcf_50,125,40,original,5,0.780000,0.800000,0.780000,3.755236,2025-08-07 12:10:58
1,hyperparameter_sweep,mcf_50,125,50,original,5,0.780000,0.800000,0.780000,4.268486,2025-08-07 12:11:20
1,hyperparameter_sweep,mcf_50,125,60,original,5,0.776667,0.800000,0.776667,5.350365,2025-08-07 12:11:46
1,hyperparameter_sweep,mcf_50,125,70,original,5,0.780000,0.800000,0.780000,6.259954,2025-08-07 12:12:18
1,hyperparameter_sweep,mcf_50,150,10,original,5,0.800000,0.800000,0.800000,1.225066,2025-08-07 12:12:24
1,hyperparameter_sweep,mcf_50,150,20,original,5,0.790000,0.800000,0.790000,1.925336,2025-08-07 12:12:33
1,hyperparameter_sweep,mcf_50,150,30,original,5,0.760000,0.800000,0.760000,2.912064,2025-08-07 12:12:48
1,hyperparameter_sweep,mcf_50,150,40,original,5,0.785000,0.800000,0.785000,3.521773,2025-08-07 12:13:06
1,hyperparameter_sweep,mcf_50,150,50,original,5,0.780000,0.800000,0.780000,4.312591,2025-08-07 12:13:27
1,hyperparameter_sweep,mcf_50,150,60,original,5,0.760000,0.800000,0.760000,5.213349,2025-08-07 12:13:53
1,hyperparameter_sweep,mcf_50,150,70,original,5,0.768571,0.800000,0.768571,5.692793,2025-08-07 12:14:22
1,hyperparameter_sweep,mcf_50,175,10,original,5,1.000000,1.000000,1.000000,1.249884,2025-08-07 12:14:28
1,hyperparameter_sweep,mcf_50,175,20,original,5,1.000000,1.000000,1.000000,1.979501,2025-08-07 12:14:38
1,hyperparameter_sweep,mcf_50,175,30,original,5,0.960000,1.000000,0.960000,2.723038,2025-08-07 12:14:52
1,hyperparameter_sweep,mcf_50,175,40,original,5,0.995000,1.000000,0.995000,4.141053,2025-08-07 12:15:12
1,hyperparameter_sweep,mcf_50,175,50,original,5,0.968157,0.996000,0.972000,3.946920,2025-08-07 12:15:32
1,hyperparameter_sweep,mcf_50,175,60,original,5,0.970109,0.996667,0.973333,5.083944,2025-08-07 12:15:57
1,hyperparameter_sweep,mcf_50,175,70,original,5,0.968652,0.997143,0.971429,5.115045,2025-08-07 12:16:23
1,hyperparameter_sweep,mcf_50,200,10,original,5,1.000000,1.000000,1.000000,1.155512,2025-08-07 12:16:29
1,hyperparameter_sweep,mcf_50,200,20,original,5,0.970952,0.990000,0.980000,1.941673,2025-08-07 12:16:38
1,hyperparameter_sweep,mcf_50,200,30,original,5,0.973763,0.993333,0.980000,2.536557,2025-08-07 12:16:51
1,hyperparameter_sweep,mcf_50,200,40,original,5,0.950244,0.995000,0.955000,3.048323,2025-08-07 12:17:06
1,hyperparameter_sweep,mcf_50,200,50,original,5,0.980000,1.000000,0.980000,3.769961,2025-08-07 12:17:25
1,hyperparameter_sweep,mcf_50,200,60,original,5,0.966776,0.996667,0.970000,4.790047,2025-08-07 12:17:49
1,hyperparameter_sweep,mcf_50,200,70,original,5,0.945714,1.000000,0.945714,5.100586,2025-08-07 12:18:15
2,hyperparameter_sweep,mcf_25,100,10,original,5,0.146241,0.220000,0.220000,1.746098,2025-08-07 13:41:54
2,hyperparameter_sweep,mcf_25,100,20,original,5,0.294672,0.427059,0.380000,2.408909,2025-08-07 13:42:07
2,hyperparameter_sweep,mcf_25,100,30,original,5,0.233979,0.290881,0.280000,3.290348,2025-08-07 13:42:25
2,hyperparameter_sweep,mcf_25,100,40,original,5,0.163345,0.275119,0.215000,4.123382,2025-08-07 13:42:46
2,hyperparameter_sweep,mcf_25,100,50,original,5,0.179793,0.266807,0.252000,5.735401,2025-08-07 13:43:16
2,hyperparameter_sweep,mcf_25,100,60,original,5,0.052704,0.099048,0.096667,5.863633,2025-08-07 13:43:47
2,hyperparameter_sweep,mcf_25,100,70,original,5,0.316570,0.381597,0.380000,7.462384,2025-08-07 13:44:25
2,hyperparameter_sweep,mcf_25,125,10,original,5,0.327273,0.360000,0.360000,1.391852,2025-08-07 13:44:34
2,hyperparameter_sweep,mcf_25,125,20,original,5,0.348522,0.440000,0.440000,2.561469,2025-08-07 13:44:48
2,hyperparameter_sweep,mcf_25,125,30,original,5,0.279842,0.363590,0.353333,3.529927,2025-08-07 13:45:07
2,hyperparameter_sweep,mcf_25,125,40,original,5,0.110817,0.183956,0.175000,5.656737,2025-08-07 13:45:36
2,hyperparameter_sweep,mcf_25,125,50,original,5,0.119774,0.243680,0.160000,5.351929,2025-08-07 13:46:04
2,hyperparameter_sweep,mcf_25,125,60,original,5,0.071771,0.129943,0.123333,6.449276,2025-08-07 13:46:38
2,hyperparameter_sweep,mcf_25,125,70,original,5,0.161507,0.246925,0.220000,6.782625,2025-08-07 13:47:13
2,hyperparameter_sweep,mcf_25,150,10,original,5,0.198930,0.240000,0.240000,1.663978,2025-08-07 13:47:23
2,hyperparameter_sweep,mcf_25,150,20,original,5,0.197143,0.293529,0.260000,2.474211,2025-08-07 13:47:36
2,hyperparameter_sweep,mcf_25,150,30,original,5,0.310048,0.381667,0.373333,3.448491,2025-08-07 13:47:55
2,hyperparameter_sweep,mcf_25,150,40,original,5,0.254414,0.320405,0.320000,6.446818,2025-08-07 13:48:28
2,hyperparameter_sweep,mcf_25,150,50,original,5,0.162198,0.209771,0.200000,6.018021,2025-08-07 13:49:00
2,hyperparameter_sweep,mcf_25,150,60,original,5,0.235048,0.306146,0.303333,8.381226,2025-08-07 13:49:43
2,hyperparameter_sweep,mcf_25,150,70,original,5,0.266591,0.339152,0.331429,7.159350,2025-08-07 13:50:20
2,hyperparameter_sweep,mcf_25,175,10,original,5,0.329718,0.400000,0.400000,1.510420,2025-08-07 13:50:29
2,hyperparameter_sweep,mcf_25,175,20,original,5,0.225874,0.313333,0.270000,2.286244,2025-08-07 13:50:41
2,hyperparameter_sweep,mcf_25,175,30,original,5,0.216068,0.318371,0.260000,3.450466,2025-08-07 13:51:00
2,hyperparameter_sweep,mcf_25,175,40,original,5,0.168620,0.261817,0.225000,4.770133,2025-08-07 13:51:25
2,hyperparameter_sweep,mcf_25,175,50,original,5,0.150762,0.222831,0.200000,5.365423,2025-08-07 13:51:53
2,hyperparameter_sweep,mcf_25,175,60,original,5,0.294501,0.373174,0.330000,7.748724,2025-08-07 13:52:33
2,hyperparameter_sweep,mcf_25,175,70,original,5,0.152307,0.241630,0.180000,8.182194,2025-08-07 13:53:15
2,hyperparameter_sweep,mcf_25,200,10,original,5,0.354113,0.440000,0.420000,1.508168,2025-08-07 13:53:24
2,hyperparameter_sweep,mcf_25,200,20,original,5,0.200000,0.200000,0.200000,3.220540,2025-08-07 13:53:41
2,hyperparameter_sweep,mcf_25,200,30,original,5,0.153955,0.186207,0.180000,3.556604,2025-08-07 13:54:00
2,hyperparameter_sweep,mcf_25,200,40,original,5,0.128809,0.194456,0.185000,6.748020,2025-08-07 13:54:35
2,hyperparameter_sweep,mcf_25,200,50,original,5,0.106250,0.141667,0.136000,6.363640,2025-08-07 13:55:08
2,hyperparameter_sweep,mcf_25,200,60,original,5,0.017090,0.035843,0.030000,7.516662,2025-08-07 13:55:47
2,hyperparameter_sweep,mcf_25,200,70,original,5,0.218426,0.316913,0.271429,6.881376,2025-08-07 13:56:23
3,hyperparameter_sweep,cactu_25,100,10,original,5,0.707692,0.740000,0.740000,1.385160,2025-08-11 23:23:24
