BATCH_SIZES = [30, 40, 50, 60, 70]
OUTPUT_SIZES = [10, 20, 30, 40, 50]
batch_size,output_size,avg_accuracy,avg_precision,avg_recall,avg_time
30,10,0.448701,0.551111,0.540000,1.219394
30,20,0.222251,0.380513,0.310000,1.965721
30,30,0.393639,0.564368,0.513333,2.680363
30,40,0.186042,0.310964,0.285000,3.412314
30,50,0.196259,0.337216,0.272000,4.364514
40,10,0.156767,0.240000,0.240000,1.258324
40,20,0.358317,0.517778,0.460000,1.899230
40,30,0.301288,0.412367,0.380000,2.654319
40,40,0.331841,0.462854,0.420000,3.468538
40,50,0.266377,0.404115,0.384000,4.086661
50,10,0.493939,0.582222,0.580000,1.148504
50,20,0.363960,0.537750,0.460000,1.891821
50,30,0.374969,0.536279,0.460000,2.636558
50,40,0.236979,0.397815,0.315000,3.284629
50,50,0.387385,0.498833,0.472000,4.023094
60,10,0.161693,0.271111,0.260000,1.236429
60,20,0.344688,0.488120,0.440000,1.825922
60,30,0.233213,0.339080,0.293333,2.598300
60,40,0.370722,0.481743,0.425000,3.333180
60,50,0.345070,0.492717,0.460000,3.955408
70,10,0.567995,0.700000,0.680000,1.133410
70,20,0.270280,0.361579,0.360000,2.065599
70,30,0.255929,0.351459,0.333333,2.740321
70,40,0.319404,0.557545,0.425000,3.523127
70,50,0.429855,0.588638,0.548000,4.217927
