batch_size,output_size,avg_accuracy,avg_precision,avg_recall,avg_time
100,10,0.378716,0.520000,0.500000,1.246406
100,20,0.516874,0.622500,0.600000,1.887620
100,30,0.540972,0.651954,0.640000,2.590820
100,40,0.584565,0.722267,0.700000,3.254528
100,50,0.579734,0.769003,0.676000,3.959798
125,10,0.326667,0.422222,0.380000,1.248151
125,20,0.456421,0.586667,0.520000,1.885066
125,30,0.643737,0.803678,0.746667,2.632436
125,40,0.638596,0.780775,0.750000,3.319761
125,50,0.361571,0.496521,0.460000,4.074516
150,10,0.582684,0.660000,0.660000,1.139320
150,20,0.549029,0.649532,0.630000,1.992608
150,30,0.345676,0.520397,0.440000,2.620607
150,40,0.546847,0.647773,0.615000,3.235749
150,50,0.706157,0.883737,0.776000,4.034139
